Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Mirante da Serra (RO),Total,Total,27,15,,,,,,2,2,,7,3,,,,,,,,1,,1,24,15,,,,,,2,1,,6,8,5,,,,,,1,,,3,15,10,,,,,,1,1,,3,1,,,,,,,,,,,4,,,,,,,,1,,1,23,15,,,,,,2,1,,6
Mirante da Serra (RO),Total,Produção de lavouras temporárias,2,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,
Monte Negro (RO),Total,Total,8,3,1,,,,2,4,13,1,4,,1,,,,,1,1,6,1,1,8,2,1,,,,1,3,7,,3,4,1,,,,,1,2,1,,1,4,1,1,,,,,1,6,,2,,,,,,,,,,,,,1,,,,,1,1,6,1,1,8,2,1,,,,1,3,7,,3
Monte Negro (RO),Total,Produção de lavouras temporárias,3,1,,,,,,1,,1,1,,,,,,,,,,1,1,3,1,,,,,,1,,,,,,,,,,,,,,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,,,,,,1,,,
Nova União (RO),Total,Total,11,5,2,,1,,,,5,3,27,,2,1,,,,,,2,2,3,11,3,1,,1,,,,3,1,24,5,1,,,1,,,,1,1,8,6,2,1,,,,,,2,,16,,,,,,,,,,,,,2,1,,,,,,2,2,3,11,3,1,,1,,,,3,1,24
Nova União (RO),Total,Produção de lavouras temporárias,1,1,,,,,,,,1,2,,,,,,,,,,1,1,1,1,,,,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1
Parecis (RO),Total,Total,16,16,2,,,,2,1,9,,,,2,,,,,,,,,,16,14,2,,,,2,1,9,,,6,3,,,,,,,2,,,10,11,2,,,,2,1,7,,,,,,,,,,,,,,,2,,,,,,,,,,16,14,2,,,,2,1,9,,
Parecis (RO),Total,Produção de lavouras temporárias,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Pimenteiras do Oeste (RO),Total,Total,1,,,1,,5,,,6,,1,,,,,,1,,,2,,,1,,,1,,4,,,4,,1,1,,,,,3,,,,,1,,,,1,,1,,,4,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,1,,4,,,4,,1
Pimenteiras do Oeste (RO),Total,Produção de lavouras temporárias,1,,,,,2,,,1,,,,,,,,,,,1,,,1,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,,,,
Primavera de Rondônia (RO),Total,Total,25,27,2,,,,,3,14,1,1,2,1,1,,,,,,2,,,23,26,1,,,,,3,12,1,1,9,8,1,,,,,,4,,1,14,17,,,,,,3,8,1,,,1,,,,,,,,,,2,2,1,,,,,,2,,,23,25,1,,,,,3,12,1,1
Primavera de Rondônia (RO),Total,Produção de lavouras temporárias,2,3,1,,,,,,,,,,,1,,,,,,,,,2,3,,,,,,,,,,1,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,3,,,,,,,,,
São Felipe D'Oeste (RO),Total,Total,59,22,9,,,,7,10,47,2,11,6,3,1,,,,1,1,5,1,1,53,19,8,,,,6,9,42,1,10,14,10,2,,,,1,5,9,1,7,38,9,6,,,,5,4,33,,3,1,,,,,,,,,,,7,3,1,,,,1,1,5,1,1,52,19,8,,,,6,9,42,1,10
São Felipe D'Oeste (RO),Total,Produção de lavouras temporárias,15,3,2,,,,,2,4,,3,,1,,,,,,,2,,1,15,2,2,,,,,2,2,,2,2,1,1,,,,,1,1,,2,12,1,1,,,,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,2,,1,14,2,2,,,,,2,2,,2
São Francisco do Guaporé (RO),Total,Total,47,10,,,,,3,2,9,,10,8,1,,,,,,,1,,3,39,9,,,,,3,2,8,,7,10,,,,,,1,1,1,,4,29,9,,,,,2,1,7,,3,,,,,,,,,,,,8,1,,,,,,,1,,3,39,9,,,,,3,2,8,,7
São Francisco do Guaporé (RO),Total,Produção de lavouras temporárias,3,,,,,,,,,,3,1,,,,,,,,,,1,2,,,,,,,,,,2,,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,2
Seringueiras (RO),Total,Total,54,101,3,,,,2,1,18,,2,6,7,1,,,,,,2,,,48,94,2,,,,2,1,16,,2,21,38,,,,,2,1,2,,1,27,56,2,,,,,,14,,1,,,,,,,,,,,,6,7,1,,,,,,2,,,48,94,2,,,,2,1,16,,2
Seringueiras (RO),Total,Produção de lavouras temporárias,1,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,
Teixeirópolis (RO),Total,Total,22,6,,,4,,,,1,1,8,3,,,,,,,,,,,19,6,,,4,,,,1,1,8,5,2,,,1,,,,,,4,14,4,,,3,,,,1,1,4,,,,,,,,,,,,3,,,,,,,,,,,19,6,,,4,,,,1,1,8
Teixeirópolis (RO),Total,Produção de lavouras temporárias,2,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,
Theobroma (RO),Total,Total,17,5,,,,,1,1,2,1,,,,,,,,,1,1,,,17,5,,,,,1,,1,1,,8,2,,,,,1,,,,,9,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,17,5,,,,,1,,1,1,
Theobroma (RO),Total,Produção de lavouras temporárias,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Urupá (RO),Total,Total,13,2,,,,,,,2,1,3,2,,,,,,,,,,,11,2,,,,,,,2,1,3,3,1,,,,,,,,1,2,8,1,,,,,,,2,,1,,,,,,,,,,,,2,,,,,,,,,,,11,2,,,,,,,2,1,3
Urupá (RO),Total,Produção de lavouras temporárias,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
Vale do Anari (RO),Total,Total,45,10,1,,,,1,,4,3,3,5,,,,,,,,,,2,40,10,1,,,,1,,4,3,1,14,2,,,,,,,,2,1,26,8,1,,,,1,,4,1,,,,,,,,,,,,,5,,,,,,,,,,2,40,10,1,,,,1,,4,3,1
Vale do Anari (RO),Total,Produção de lavouras temporárias,11,2,1,,,,,,,,1,3,,,,,,,,,,1,8,2,1,,,,,,,,,7,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,8,2,1,,,,,,,,
Vale do Paraíso (RO),Total,Total,11,3,,,,,,2,8,,,2,1,,,,,,,2,,,9,2,,,,,,2,6,,,2,,,,,,,,3,,,7,2,,,,,,2,3,,,,,,,,,,,,,,2,1,,,,,,,2,,,9,2,,,,,,2,6,,
Vale do Paraíso (RO),Total,Produção de lavouras temporárias,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
Acrelândia (AC),Total,Total,18,4,,,,,,,7,,16,3,1,,,,,,,1,,2,15,3,,,,,,,6,,14,1,,,,,,,,1,,7,13,3,,,,,,,5,,7,1,,,,,,,,,,,4,,,,,,,,1,,2,14,4,,,,,,,6,,14
Acrelândia (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Assis Brasil (AC),Total,Total,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Assis Brasil (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasiléia (AC),Total,Total,8,,2,,,,,,1,,36,2,,,,,,,,,,3,6,,2,,,,,,1,,33,3,,2,,,,,,1,,19,3,,,,,,,,,,13,,,,,,,,,,,1,2,,,,,,,,,,4,6,,2,,,,,,1,,32
Brasiléia (AC),Total,Produção de lavouras temporárias,1,,1,,,,,,,,9,,,,,,,,,,,3,1,,1,,,,,,,,6,1,,1,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,,,6
Bujari (AC),Total,Total,1,2,,,,,,,,,94,1,1,,,,,,,,,6,,1,,,,,,,,,88,,1,,,,,,,,,48,,,,,,,,,,,40,,,,,,,,,,,,1,1,,,,,,,,,6,,1,,,,,,,,,88
Bujari (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,17,,,,,,,,,,,1,,,,,,,,,,,16,,,,,,,,,,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,16
Capixaba (AC),Total,Total,9,4,,,,,1,,2,,31,,,,,,,1,,,,,9,4,,,,,,,2,,31,3,1,,,,,,,,,13,6,3,,,,,,,2,,18,,,,,,,,,,,,,,,,,,1,,,,,9,4,,,,,,,2,,31
Capixaba (AC),Total,Produção de lavouras temporárias,5,2,,,,,1,,,,14,,,,,,,1,,,,,5,2,,,,,,,,,14,1,1,,,,,,,,,3,4,1,,,,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,5,2,,,,,,,,,14
Cruzeiro do Sul (AC),Total,Total,2,,5,,,,,,1,,148,,,,,,,,,1,,13,2,,5,,,,,,,,135,,,3,,,,,,,,75,2,,2,,,,,,,,59,,,,,,,,,,,1,,,,,,,,,1,,14,2,,5,,,,,,,,134
Cruzeiro do Sul (AC),Total,Produção de lavouras temporárias,1,,1,,,,,,1,,74,,,,,,,,,1,,4,1,,1,,,,,,,,70,,,,,,,,,,,36,1,,1,,,,,,,,34,,,,,,,,,,,,,,,,,,,,1,,4,1,,1,,,,,,,,70
Epitaciolândia (AC),Total,Total,,,,,,,,,1,,43,,,,,,,,,,,3,,,,,,,,,1,,40,,,,,,,,,,,33,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,40
Epitaciolândia (AC),Total,Produção de lavouras temporárias,,,,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,1,,13,,,,,,,,,,,9,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13
Feijó (AC),Total,Total,,,,,,,,,,,14,,,,,,,,,,,2,,,,,,,,,,,12,,,,,,,,,,,9,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12
Feijó (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Mâncio Lima (AC),Total,Total,3,2,1,,,,,,,,20,2,2,,,,,,,,,2,1,,1,,,,,,,,18,,,,,,,,,,,8,1,,1,,,,,,,,10,,,,,,,,,,,,2,2,,,,,,,,,2,1,,1,,,,,,,,18
Mâncio Lima (AC),Total,Produção de lavouras temporárias,,,1,,,,,,,,11,,,,,,,,,,,,,,1,,,,,,,,11,,,,,,,,,,,5,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,11
Manoel Urbano (AC),Total,Total,1,,,,,,,,,,5,,,,,,,,,,,2,1,,,,,,,,,,3,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,3
Manoel Urbano (AC),Total,Produção de lavouras temporárias,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
Plácido de Castro (AC),Total,Total,6,2,2,,,,,,,,52,1,1,,,,,,,,,4,5,1,2,,,,,,,,48,,,,,,,,,,,27,5,1,2,,,,,,,,21,,,,,,,,,,,,1,1,,,,,,,,,4,5,1,2,,,,,,,,48
Plácido de Castro (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Rio Branco (AC),Total,Total,10,8,1,,,,,,11,,187,2,4,1,,,,,,5,,27,8,4,,,,,,,6,,160,2,4,,,,,,,2,,106,6,,,,,,,,4,,54,,,,,,,,,,,,2,3,1,,,,,,5,,27,8,5,,,,,,,6,,160
Rio Branco (AC),Total,Produção de lavouras temporárias,4,2,,,,,,,,,24,,,,,,,,,,,4,4,2,,,,,,,,,20,1,2,,,,,,,,,17,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,4,2,,,,,,,,,20
Rodrigues Alves (AC),Total,Total,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,11,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Rodrigues Alves (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,8,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Senador Guiomard (AC),Total,Total,37,7,8,,,,,,6,,124,9,3,2,,,,,,2,,27,28,4,6,,,,,,4,,97,14,2,2,,,,,,2,,51,14,2,4,,,,,,1,,46,,,,,,,,,1,,,9,3,2,,,,,,3,,27,28,4,6,,,,,,3,,97
Senador Guiomard (AC),Total,Produção de lavouras temporárias,7,,1,,,,,,3,,14,1,,,,,,,,1,,4,6,,1,,,,,,2,,10,3,,,,,,,,1,,7,3,,1,,,,,,,,3,,,,,,,,,1,,,1,,,,,,,,2,,4,6,,1,,,,,,1,,10
Sena Madureira (AC),Total,Total,4,,,,,,,,2,,27,3,,,,,,,,,,11,1,,,,,,,,2,,16,1,,,,,,,,1,,8,,,,,,,,,1,,8,,,,,,,,,,,,3,,,,,,,,,,11,1,,,,,,,,2,,16
Sena Madureira (AC),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Tarauacá (AC),Total,Total,,,,,,,,,44,,13,,,,,,,,,,,2,,,,,,,,,44,,11,,,,,,,,,34,,11,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,44,,11
Tarauacá (AC),Total,Produção de lavouras temporárias,,,,,,,,,17,,7,,,,,,,,,,,1,,,,,,,,,17,,6,,,,,,,,,12,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,17,,6
Xapuri (AC),Total,Total,3,1,,,,,,,1,1,9,,1,,,,,,,,1,3,3,,,,,,,,1,,6,,,,,,,,,,,5,3,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,3,3,,,,,,,,1,,6
Xapuri (AC),Total,Produção de lavouras temporárias,1,,,,,,,,1,,3,,,,,,,,,,,1,1,,,,,,,,1,,2,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,2
Porto Acre (AC),Total,Total,15,3,2,,,,,,3,,59,5,,,,,,,,,,9,10,3,2,,,,,,3,,50,3,,,,,,,,,,27,7,3,2,,,,,,2,,22,,,,,,,,,1,,1,5,,,,,,,,1,,10,10,3,2,,,,,,2,,49
Porto Acre (AC),Total,Produção de lavouras temporárias,2,1,1,,,,,,,,10,1,,,,,,,,,,1,1,1,1,,,,,,,,9,,,,,,,,,,,7,1,1,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,9
Alvarães (AM),Total,Total,2,,,,,,,,,1,95,,,,,,,,,,,6,2,,,,,,,,,1,89,2,,,,,,,,,,49,,,,,,,,,,1,39,,,,,,,,,,,1,,,,,,,,,,,7,2,,,,,,,,,1,88
Alvarães (AM),Total,Produção de lavouras temporárias,2,,,,,,,,,1,70,,,,,,,,,,,4,2,,,,,,,,,1,66,2,,,,,,,,,,33,,,,,,,,,,1,32,,,,,,,,,,,1,,,,,,,,,,,5,2,,,,,,,,,1,65
Amaturá (AM),Total,Total,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Amaturá (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anamã (AM),Total,Total,,,,,,,,,,,51,,,,,,,,,,,7,,,,,,,,,,,44,,,,,,,,,,,34,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,44
Anamã (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,28,,,,,,,,,,,4,,,,,,,,,,,24,,,,,,,,,,,19,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,24
Anori (AM),Total,Total,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Anori (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Apuí (AM),Total,Total,4,,1,,,,,1,,4,8,3,,,,,,,,,,,1,,1,,,,,1,,4,8,,,,,,,,,,1,3,1,,1,,,,,1,,3,5,,,,,,,,,,,,3,,,,,,,,,,,1,,1,,,,,1,,4,8
Apuí (AM),Total,Produção de lavouras temporárias,,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1
Atalaia do Norte (AM),Total,Total,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Atalaia do Norte (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Autazes (AM),Total,Total,18,2,,,,,2,3,10,1,86,6,,,,,,1,1,4,,31,12,2,,,,,1,2,6,1,55,3,,,,,,,1,,,48,9,2,,,,,1,1,6,1,7,,,,,,,,,,,,6,,,,,,1,1,4,,31,12,2,,,,,1,2,6,1,55
Autazes (AM),Total,Produção de lavouras temporárias,3,,,,,,,,,,39,2,,,,,,,,,,9,1,,,,,,,,,,30,,,,,,,,,,,28,1,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,9,1,,,,,,,,,,30
Barcelos (AM),Total,Total,2,1,,,,1,,,,2,12,2,,,,,,,,,,1,,1,,,,1,,,,2,11,,,,,,,,,,,6,,1,,,,1,,,,2,5,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,,1,,,,2,11
Barcelos (AM),Total,Produção de lavouras temporárias,,1,,,,,,,,,5,,,,,,,,,,,1,,1,,,,,,,,,4,,,,,,,,,,,3,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4
Barreirinha (AM),Total,Total,2,,,,,,,,1,1,9,1,,,,,,,,1,,3,1,,,,,,,,,1,6,,,,,,,,,,1,4,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,3,1,,,,,,,,,1,6
Barreirinha (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1
Benjamin Constant (AM),Total,Total,1,,,,,,,,,,18,,,,,,,,,,,2,1,,,,,,,,,,16,,,,,,,,,,,14,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,16
Benjamin Constant (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9
Beruri (AM),Total,Total,2,1,,,,,,,,3,22,2,,,,,,,,,,3,,1,,,,,,,,3,19,,,,,,,,,,2,15,,1,,,,,,,,1,4,,,,,,,,,,,,2,,,,,,,,,,3,,1,,,,,,,,3,19
Beruri (AM),Total,Produção de lavouras temporárias,1,,,,,,,,,,15,1,,,,,,,,,,3,,,,,,,,,,,12,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,12
Boa Vista do Ramos (AM),Total,Total,,,,,,,,,,,23,,,,,,,,,,,3,,,,,,,,,,,20,,,,,,,,,,,15,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,20
Boa Vista do Ramos (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3
Boca do Acre (AM),Total,Total,2,,,1,,,,,,1,33,1,,,,,,,,,,4,1,,,1,,,,,,1,29,1,,,1,,,,,,1,26,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,4,1,,,1,,,,,,1,29
Boca do Acre (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4
Borba (AM),Total,Total,1,,,,,,,,,8,20,,,,,,,,,,1,1,1,,,,,,,,,7,19,,,,,,,,,,3,10,1,,,,,,,,,4,9,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,7,19
Borba (AM),Total,Produção de lavouras temporárias,1,,,,,,,,,5,12,,,,,,,,,,,,1,,,,,,,,,5,12,,,,,,,,,,2,5,1,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,12
Caapiranga (AM),Total,Total,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Caapiranga (AM),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Canutama (AM),Total,Total,16,1,,,,,,1,1,1,10,5,1,,,,,,1,1,,7,11,,,,,,,,,1,3,4,,,,,,,,,1,3,6,,,,,,,,,,,1,,,,,,,,,,,6,1,,,,,,1,1,,7,10,,,,,,,,,1,3
Canutama (AM),Total,Produção de lavouras temporárias,8,,,,,,,,,,4,3,,,,,,,,,,3,5,,,,,,,,,,1,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,5,,,,,,,,,,1
Carauari (AM),Total,Total,5,,,,,,,,1,,3,3,,,,,,,,,,1,2,,,,,,,,1,,2,2,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,3,,,,,,,,,,1,2,,,,,,,,1,,2
Carauari (AM),Total,Produção de lavouras temporárias,3,,,,,,,,1,,2,3,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,2
Careiro (AM),Total,Total,12,1,4,,,,,,3,5,91,4,,2,,,,,,3,2,22,8,1,2,,,,,,,3,69,5,1,2,,,,,,,3,60,3,,,,,,,,,,9,,,,,,,,,,,,4,,2,,,,,,3,2,22,8,1,2,,,,,,,3,69
